# Residuals  
# Time       	p_rgh        	Ux           	Uy           	Uz           	SF6          
7.1          	3.777090e-02	2.716260e-06	1.866320e-04	8.013790e-04	4.465290e-04
7.2          	3.766750e-02	2.351860e-06	1.695950e-04	6.020150e-04	4.718020e-04
7.3          	3.774620e-02	2.489800e-06	1.726280e-04	6.689730e-04	4.962360e-04
7.4          	3.778470e-02	2.423810e-06	1.725690e-04	7.396780e-04	4.828480e-04
7.5          	3.778880e-02	2.373450e-06	1.706690e-04	7.492910e-04	4.816990e-04
7.6          	3.778200e-02	2.315420e-06	1.686110e-04	7.383940e-04	4.697630e-04
7.7          	3.775650e-02	2.266310e-06	1.661990e-04	7.052750e-04	4.826060e-04
7.8          	3.774280e-02	2.218940e-06	1.650930e-04	6.911910e-04	4.710350e-04
7.9          	3.773180e-02	2.184480e-06	1.637610e-04	6.749100e-04	4.768280e-04
8            	3.772210e-02	2.144550e-06	1.633450e-04	6.665850e-04	4.720250e-04
8.1          	3.771030e-02	2.115130e-06	1.622350e-04	6.506220e-04	4.754440e-04
8.2          	3.770780e-02	2.086110e-06	1.617750e-04	6.486900e-04	4.739990e-04
8.3          	3.769950e-02	2.067410e-06	1.611930e-04	6.453500e-04	4.751900e-04
8.4          	3.769020e-02	2.033290e-06	1.608510e-04	6.373790e-04	4.720180e-04
8.5          	3.768360e-02	2.013050e-06	1.601740e-04	6.281660e-04	4.752860e-04
8.6          	3.767240e-02	1.984220e-06	1.598300e-04	6.174060e-04	4.716780e-04
8.7          	3.766530e-02	1.967320e-06	1.593080e-04	6.115800e-04	4.768520e-04
8.8          	3.765980e-02	1.943900e-06	1.591140e-04	6.062660e-04	4.729000e-04
8.9          	3.763610e-02	1.893570e-06	1.571990e-04	5.749180e-04	4.761060e-04
9            	3.762780e-02	1.871570e-06	1.570630e-04	5.682160e-04	4.709450e-04
9.1          	3.762300e-02	1.859700e-06	1.567020e-04	5.649460e-04	4.754030e-04
9.2          	3.761860e-02	1.843180e-06	1.567510e-04	5.644800e-04	4.721480e-04
9.3          	3.761370e-02	1.833240e-06	1.564470e-04	5.620410e-04	4.757390e-04
9.4          	3.761380e-02	1.819530e-06	1.565560e-04	5.623330e-04	4.716480e-04
9.5          	3.772980e-02	2.163250e-06	1.667050e-04	6.523420e-04	4.762200e-04
9.6          	3.762160e-02	1.806070e-06	1.576410e-04	5.822050e-04	4.692470e-04
9.7          	3.772920e-02	2.147980e-06	1.666460e-04	6.585350e-04	4.760880e-04
9.8          	3.774440e-02	2.141680e-06	1.673280e-04	6.776140e-04	4.709830e-04
9.9          	3.774100e-02	2.139270e-06	1.672070e-04	6.813580e-04	4.748750e-04
10           	3.774280e-02	2.129940e-06	1.672410e-04	6.815790e-04	4.713270e-04
10.1         	3.773360e-02	2.120640e-06	1.669200e-04	6.796800e-04	4.742900e-04
10.2         	3.773290e-02	2.108500e-06	1.669330e-04	6.788180e-04	4.687760e-04
10.3         	3.772890e-02	2.101480e-06	1.666370e-04	6.768290e-04	4.741330e-04
10.4         	3.772710e-02	2.090180e-06	1.666580e-04	6.756500e-04	4.684400e-04
10.5         	3.772190e-02	2.081720e-06	1.664230e-04	6.736560e-04	4.750410e-04
10.6         	3.772440e-02	2.071780e-06	1.664540e-04	6.728800e-04	4.707070e-04
10.7         	3.771500e-02	2.063340e-06	1.662330e-04	6.709650e-04	4.739810e-04
10.8         	3.771470e-02	2.052140e-06	1.663040e-04	6.704710e-04	4.685640e-04
10.9         	3.771210e-02	2.045960e-06	1.660730e-04	6.687560e-04	4.736700e-04
11           	3.771190e-02	2.035540e-06	1.661540e-04	6.682540e-04	4.702610e-04
11.1         	3.770680e-02	2.028460e-06	1.659570e-04	6.666120e-04	4.737170e-04
11.2         	3.770930e-02	2.019360e-06	1.660170e-04	6.661690e-04	4.695540e-04
11.3         	3.770140e-02	2.012140e-06	1.658380e-04	6.646920e-04	4.744480e-04
11.4         	3.770240e-02	2.001780e-06	1.659200e-04	6.645950e-04	4.676560e-04
11.5         	3.769980e-02	1.997020e-06	1.657470e-04	6.632040e-04	4.741800e-04
11.6         	3.769950e-02	1.987440e-06	1.658160e-04	6.629110e-04	4.697180e-04
11.7         	3.769580e-02	1.981800e-06	1.656910e-04	6.617890e-04	4.741670e-04
11.8         	3.769940e-02	1.973560e-06	1.657560e-04	6.615540e-04	4.705520e-04
11.9         	3.769130e-02	1.967890e-06	1.656430e-04	6.605160e-04	4.739140e-04
12           	3.769210e-02	1.958030e-06	1.657300e-04	6.603780e-04	4.679240e-04
12.1         	3.769060e-02	1.954550e-06	1.655930e-04	6.594300e-04	4.738680e-04
12.2         	3.769130e-02	1.945460e-06	1.656750e-04	6.591600e-04	4.679990e-04
12.3         	3.768730e-02	1.940990e-06	1.655900e-04	6.583790e-04	4.750590e-04
12.4         	3.769050e-02	1.933050e-06	1.656700e-04	6.581990e-04	4.700640e-04
12.5         	3.768360e-02	1.928220e-06	1.655670e-04	6.573180e-04	4.740030e-04
12.6         	3.768530e-02	1.919010e-06	1.656900e-04	6.575160e-04	4.679670e-04
12.7         	3.768350e-02	1.916080e-06	1.655720e-04	6.567520e-04	4.735370e-04
12.8         	3.768370e-02	1.907400e-06	1.656770e-04	6.566060e-04	4.699180e-04
12.9         	3.768070e-02	1.903520e-06	1.655890e-04	6.558140e-04	4.737910e-04
13           	3.768480e-02	1.896000e-06	1.656900e-04	6.558100e-04	4.692840e-04
13.1         	3.767750e-02	1.891910e-06	1.656030e-04	6.551650e-04	4.743360e-04
13.2         	3.767880e-02	1.881110e-06	1.657330e-04	6.554250e-04	4.678840e-04
13.3         	3.767760e-02	1.878770e-06	1.656360e-04	6.547800e-04	4.739680e-04
13.4         	3.767860e-02	1.868430e-06	1.657390e-04	6.546200e-04	4.698310e-04
13.5         	3.767500e-02	1.865480e-06	1.656770e-04	6.542240e-04	4.744330e-04
13.6         	3.767860e-02	1.856210e-06	1.657630e-04	6.539980e-04	4.705990e-04
13.7         	3.767200e-02	1.851630e-06	1.657170e-04	6.537550e-04	4.740610e-04
13.8         	3.767420e-02	1.841070e-06	1.658320e-04	6.539070e-04	4.681620e-04
13.9         	3.767230e-02	1.838430e-06	1.657580e-04	6.537550e-04	4.741850e-04
14           	3.767310e-02	1.828440e-06	1.658520e-04	6.534290e-04	4.683000e-04
14.1         	3.767000e-02	1.824910e-06	1.658030e-04	6.532670e-04	4.749990e-04
14.2         	3.767490e-02	1.816360e-06	1.658990e-04	6.532500e-04	4.704020e-04
14.3         	3.766750e-02	1.813000e-06	1.658440e-04	6.530850e-04	4.741340e-04
14.4         	3.766950e-02	1.803210e-06	1.659670e-04	6.532910e-04	4.680710e-04
14.5         	3.766830e-02	1.801350e-06	1.658790e-04	6.530420e-04	4.737330e-04
14.6         	3.766970e-02	1.792270e-06	1.659880e-04	6.529780e-04	4.702370e-04
14.7         	3.766680e-02	1.789960e-06	1.659280e-04	6.527600e-04	4.739750e-04
14.8         	3.767150e-02	1.782120e-06	1.660340e-04	6.527500e-04	4.698070e-04
14.9         	3.766430e-02	1.779850e-06	1.659630e-04	6.526180e-04	4.745500e-04
15           	3.766670e-02	1.770880e-06	1.661010e-04	6.529100e-04	4.677090e-04
15.1         	3.766550e-02	1.770080e-06	1.660030e-04	6.527430e-04	4.738910e-04
15.2         	3.766690e-02	1.761570e-06	1.661020e-04	6.525470e-04	4.698640e-04
15.3         	3.766430e-02	1.760410e-06	1.660540e-04	6.525590e-04	4.743010e-04
15.4         	3.766930e-02	1.753090e-06	1.661370e-04	6.523270e-04	4.707690e-04
15.5         	3.766230e-02	1.752330e-06	1.661170e-04	6.527510e-04	4.739580e-04
15.6         	3.766460e-02	1.743460e-06	1.662100e-04	6.525560e-04	4.680800e-04
15.7         	3.766370e-02	1.743540e-06	1.661140e-04	6.525830e-04	4.739700e-04
15.8         	3.766530e-02	1.735970e-06	1.662220e-04	6.523310e-04	4.680100e-04
15.9         	3.766290e-02	1.735740e-06	1.661670e-04	6.524800e-04	4.751830e-04
16           	3.766770e-02	1.729180e-06	1.662680e-04	6.522900e-04	4.703450e-04
16.1         	3.766100e-02	1.728930e-06	1.661950e-04	6.524830e-04	4.743480e-04
16.2         	3.766350e-02	1.721180e-06	1.663210e-04	6.525640e-04	4.678440e-04
16.3         	3.766270e-02	1.721980e-06	1.662150e-04	6.525570e-04	4.737950e-04
16.4         	3.766420e-02	1.714820e-06	1.663290e-04	6.523560e-04	4.700380e-04
16.5         	3.766190e-02	1.715500e-06	1.662670e-04	6.525010e-04	4.739110e-04
16.6         	3.766700e-02	1.709380e-06	1.663650e-04	6.523790e-04	4.693640e-04
16.7         	3.766030e-02	1.710010e-06	1.662970e-04	6.525960e-04	4.744370e-04
16.8         	3.766280e-02	1.702740e-06	1.664170e-04	6.528150e-04	4.679300e-04
16.9         	3.766210e-02	1.704190e-06	1.663050e-04	6.527410e-04	4.737910e-04
17           	3.766360e-02	1.697530e-06	1.664150e-04	6.525830e-04	4.698640e-04
17.1         	3.766160e-02	1.698790e-06	1.663510e-04	6.527070e-04	4.736910e-04
17.2         	3.766640e-02	1.693150e-06	1.664350e-04	6.526130e-04	4.710800e-04
17.3         	3.766010e-02	1.694370e-06	1.663780e-04	6.528790e-04	4.735610e-04
17.4         	3.766240e-02	1.687260e-06	1.664810e-04	6.527950e-04	4.679170e-04
17.5         	3.766200e-02	1.689380e-06	1.663890e-04	6.530120e-04	4.738260e-04
17.6         	3.766350e-02	1.682830e-06	1.664690e-04	6.526310e-04	4.681380e-04
17.7         	3.766150e-02	1.684780e-06	1.664210e-04	6.531240e-04	4.751300e-04
17.8         	3.766640e-02	1.679290e-06	1.664960e-04	6.527740e-04	4.698310e-04
17.9         	3.766020e-02	1.681110e-06	1.664460e-04	6.532580e-04	4.742940e-04
18           	3.766240e-02	1.674120e-06	1.665440e-04	6.530780e-04	4.679290e-04
18.1         	3.766210e-02	1.676700e-06	1.664490e-04	6.533530e-04	4.737610e-04
18.2         	3.766360e-02	1.670440e-06	1.665420e-04	6.530450e-04	4.695290e-04
18.3         	3.766180e-02	1.672690e-06	1.664820e-04	6.534480e-04	4.737390e-04
18.4         	3.766670e-02	1.667360e-06	1.665710e-04	6.531260e-04	4.693600e-04
18.5         	3.766000e-02	1.668920e-06	1.664170e-04	6.526960e-04	4.743460e-04
18.6         	3.766300e-02	1.662790e-06	1.666230e-04	6.537890e-04	4.675970e-04
18.7         	3.766210e-02	1.665140e-06	1.664400e-04	6.529390e-04	4.735440e-04
18.8         	3.766400e-02	1.659370e-06	1.666230e-04	6.536470e-04	4.698610e-04
18.9         	3.766180e-02	1.661500e-06	1.664700e-04	6.530090e-04	4.735840e-04
19           	3.766660e-02	1.656050e-06	1.665350e-04	6.525080e-04	4.709170e-04
19.1         	3.766030e-02	1.658380e-06	1.664690e-04	6.529640e-04	4.733520e-04
19.2         	3.766270e-02	1.651640e-06	1.665680e-04	6.527870e-04	4.682560e-04
19.3         	3.766230e-02	1.654750e-06	1.664700e-04	6.531150e-04	4.736120e-04
19.4         	3.766390e-02	1.648720e-06	1.665630e-04	6.527160e-04	4.680040e-04
19.5         	3.766200e-02	1.651500e-06	1.665070e-04	6.531900e-04	4.749720e-04
19.6         	3.766690e-02	1.646270e-06	1.665760e-04	6.527970e-04	4.700240e-04
19.7         	3.766070e-02	1.648960e-06	1.665280e-04	6.533340e-04	4.741680e-04
19.8         	3.766310e-02	1.642240e-06	1.666130e-04	6.530360e-04	4.675580e-04
19.9         	3.766270e-02	1.645670e-06	1.665180e-04	6.535230e-04	4.736330e-04
20           	3.766430e-02	1.639640e-06	1.666080e-04	6.530390e-04	4.698220e-04
20.1         	3.766250e-02	1.642670e-06	1.665460e-04	6.535430e-04	4.737410e-04
20.2         	3.766740e-02	1.637530e-06	1.666220e-04	6.530520e-04	4.691740e-04
20.3         	3.766110e-02	1.640280e-06	1.665570e-04	6.535400e-04	4.742860e-04
20.4         	3.766360e-02	1.633890e-06	1.666530e-04	6.534330e-04	4.677180e-04
20.5         	3.766310e-02	1.637290e-06	1.665490e-04	6.536800e-04	4.736010e-04
20.6         	3.766470e-02	1.631450e-06	1.666450e-04	6.532920e-04	4.696690e-04
20.7         	3.766290e-02	1.634610e-06	1.665820e-04	6.537590e-04	4.735580e-04
20.8         	3.766780e-02	1.629580e-06	1.666600e-04	6.533360e-04	4.710110e-04
20.9         	3.766160e-02	1.632510e-06	1.665930e-04	6.538430e-04	4.734070e-04
21           	3.766450e-02	1.626640e-06	1.667830e-04	6.548050e-04	4.682440e-04
21.1         	3.766430e-02	1.630680e-06	1.667110e-04	6.553950e-04	4.735430e-04
21.2         	3.766580e-02	1.624730e-06	1.667790e-04	6.546880e-04	4.679360e-04
21.3         	3.766400e-02	1.628210e-06	1.667390e-04	6.554490e-04	4.747760e-04
21.4         	3.766890e-02	1.623230e-06	1.667930e-04	6.548870e-04	4.700020e-04
21.5         	3.766250e-02	1.626510e-06	1.667050e-04	6.552580e-04	4.741330e-04
21.6         	3.766500e-02	1.619940e-06	1.668120e-04	6.550350e-04	4.674920e-04
21.7         	3.766450e-02	1.623860e-06	1.667060e-04	6.552630e-04	4.737010e-04
21.8         	3.766620e-02	1.617990e-06	1.668040e-04	6.549370e-04	4.696030e-04
21.9         	3.766430e-02	1.621660e-06	1.667230e-04	6.553410e-04	4.738200e-04
22           	3.766910e-02	1.616570e-06	1.667770e-04	6.546010e-04	4.689810e-04
22.1         	3.766300e-02	1.619860e-06	1.667150e-04	6.552930e-04	4.742250e-04
22.2         	3.766540e-02	1.613970e-06	1.668320e-04	6.551650e-04	4.675490e-04
22.3         	3.766500e-02	1.617440e-06	1.666870e-04	6.553480e-04	4.735630e-04
22.4         	3.766640e-02	1.611750e-06	1.667770e-04	6.547430e-04	4.694890e-04
22.5         	3.766480e-02	1.615460e-06	1.667290e-04	6.554470e-04	4.734600e-04
22.6         	3.766960e-02	1.610730e-06	1.668050e-04	6.549340e-04	4.709370e-04
22.7         	3.766350e-02	1.614090e-06	1.667390e-04	6.555180e-04	4.731490e-04
22.8         	3.766580e-02	1.607990e-06	1.668350e-04	6.552480e-04	4.679460e-04
22.9         	3.766550e-02	1.612030e-06	1.667350e-04	6.556270e-04	4.731930e-04
23           	3.766700e-02	1.606410e-06	1.668120e-04	6.549940e-04	4.681860e-04
23.1         	3.766530e-02	1.610140e-06	1.667580e-04	6.556590e-04	4.745870e-04
23.2         	3.767010e-02	1.605520e-06	1.668200e-04	6.551130e-04	4.697960e-04
23.3         	3.766390e-02	1.608970e-06	1.667680e-04	6.557550e-04	4.739060e-04
23.4         	3.766630e-02	1.602810e-06	1.668380e-04	6.552650e-04	4.676520e-04
23.5         	3.766600e-02	1.607030e-06	1.667600e-04	6.558510e-04	4.737160e-04
23.6         	3.766740e-02	1.601370e-06	1.668190e-04	6.550570e-04	4.692800e-04
23.7         	3.766570e-02	1.605440e-06	1.667740e-04	6.558780e-04	4.738860e-04
23.8         	3.767050e-02	1.600610e-06	1.668360e-04	6.551190e-04	4.690840e-04
23.9         	3.766440e-02	1.604220e-06	1.667800e-04	6.557920e-04	4.744780e-04
24           	3.766670e-02	1.598320e-06	1.668660e-04	6.555140e-04	4.671600e-04
24.1         	3.766640e-02	1.602510e-06	1.667680e-04	6.559130e-04	4.736320e-04
24.2         	3.766780e-02	1.597060e-06	1.668510e-04	6.552980e-04	4.695400e-04
24.3         	3.766620e-02	1.600960e-06	1.667840e-04	6.559390e-04	4.735880e-04
24.4         	3.767090e-02	1.596400e-06	1.668520e-04	6.552920e-04	4.707130e-04
24.5         	3.766490e-02	1.600020e-06	1.667880e-04	6.559830e-04	4.732010e-04
24.6         	3.766710e-02	1.594140e-06	1.668880e-04	6.556510e-04	4.683170e-04
24.7         	3.766690e-02	1.598300e-06	1.667720e-04	6.559420e-04	4.731800e-04
24.8         	3.766830e-02	1.593100e-06	1.668650e-04	6.554100e-04	4.680810e-04
24.9         	3.766660e-02	1.596870e-06	1.667980e-04	6.559200e-04	4.743350e-04
25           	3.767140e-02	1.592560e-06	1.668670e-04	6.554710e-04	4.702420e-04
25.1         	3.766530e-02	1.596270e-06	1.667950e-04	6.561580e-04	4.737780e-04
25.2         	3.766750e-02	1.590380e-06	1.668850e-04	6.556130e-04	4.675200e-04
25.3         	3.766730e-02	1.594720e-06	1.668010e-04	6.562050e-04	4.735750e-04
25.4         	3.766870e-02	1.589450e-06	1.668630e-04	6.555020e-04	4.694230e-04
25.5         	3.766710e-02	1.593600e-06	1.668170e-04	6.563160e-04	4.739250e-04
25.6         	3.767180e-02	1.589050e-06	1.668670e-04	6.555050e-04	4.687330e-04
25.7         	3.766570e-02	1.592850e-06	1.668130e-04	6.562460e-04	4.746080e-04
25.8         	3.766790e-02	1.587020e-06	1.668960e-04	6.558220e-04	4.673530e-04
25.9         	3.766770e-02	1.591470e-06	1.668010e-04	6.563390e-04	4.738640e-04
