# Residuals  
# Time       	p_rgh        	Ux           	Uy           	Uz           	SF6          
7.1          	4.081320e-02	2.544150e-06	1.718740e-04	6.476590e-04	2.823520e-04
7.2          	4.082940e-02	2.454250e-06	1.682100e-04	6.654630e-04	2.815500e-04
7.3          	4.083280e-02	2.468270e-06	1.678320e-04	6.701420e-04	2.780660e-04
7.4          	4.082200e-02	2.399710e-06	1.656430e-04	6.612470e-04	2.780370e-04
7.5          	4.081270e-02	2.340450e-06	1.627860e-04	6.456650e-04	2.768990e-04
7.6          	4.080110e-02	2.295160e-06	1.622010e-04	6.317740e-04	2.758710e-04
7.7          	4.078510e-02	2.244930e-06	1.598820e-04	6.167840e-04	2.739570e-04
7.8          	4.077920e-02	2.210440e-06	1.596000e-04	6.216900e-04	2.757000e-04
7.9          	4.077270e-02	2.177530e-06	1.581640e-04	6.089740e-04	2.711320e-04
8            	4.077600e-02	2.153370e-06	1.586240e-04	6.164100e-04	2.741880e-04
8.1          	4.075360e-02	2.126710e-06	1.576440e-04	6.041920e-04	2.721290e-04
8.2          	4.075790e-02	2.108350e-06	1.578680e-04	6.103270e-04	2.715340e-04
8.3          	4.074470e-02	2.092700e-06	1.569810e-04	6.001180e-04	2.711620e-04
8.4          	4.075260e-02	2.081580e-06	1.576090e-04	6.078660e-04	2.705690e-04
8.5          	4.074830e-02	2.064750e-06	1.565290e-04	5.977080e-04	2.722820e-04
8.6          	4.073690e-02	2.056410e-06	1.570990e-04	6.068300e-04	2.735130e-04
8.7          	4.073280e-02	2.029820e-06	1.559450e-04	5.937190e-04	2.716470e-04
8.8          	4.072400e-02	2.022640e-06	1.564770e-04	6.040580e-04	2.723390e-04
8.9          	4.071620e-02	2.007840e-06	1.554760e-04	5.933190e-04	2.713610e-04
9            	4.072480e-02	2.002370e-06	1.563460e-04	6.063090e-04	2.729190e-04
9.1          	4.071150e-02	1.987640e-06	1.554640e-04	5.939340e-04	2.728520e-04
9.2          	4.071460e-02	1.977460e-06	1.556590e-04	6.040440e-04	2.697410e-04
9.3          	4.070060e-02	1.968790e-06	1.551420e-04	5.952070e-04	2.727230e-04
9.4          	4.071100e-02	1.961360e-06	1.556320e-04	6.054980e-04	2.730030e-04
9.5          	4.081380e-02	2.314640e-06	1.620950e-04	6.307940e-04	2.707150e-04
9.6          	4.070050e-02	1.934180e-06	1.549750e-04	6.009430e-04	2.715650e-04
9.7          	4.081280e-02	2.296500e-06	1.616750e-04	6.318260e-04	2.712040e-04
9.8          	4.068370e-02	1.919540e-06	1.547640e-04	6.016510e-04	2.735850e-04
9.9          	4.073710e-02	2.115490e-06	1.571750e-04	5.792190e-04	2.698130e-04
10           	4.074490e-02	2.111130e-06	1.569850e-04	5.821610e-04	2.708720e-04
10.1         	4.073400e-02	2.103330e-06	1.563260e-04	5.780540e-04	2.693360e-04
10.2         	4.074360e-02	2.100640e-06	1.572910e-04	5.861730e-04	2.738670e-04
10.3         	4.073950e-02	2.087560e-06	1.565120e-04	5.798550e-04	2.698690e-04
10.4         	4.073280e-02	2.077910e-06	1.566810e-04	5.843830e-04	2.727440e-04
10.5         	4.071650e-02	2.070930e-06	1.563690e-04	5.808960e-04	2.717030e-04
10.6         	4.073150e-02	2.061580e-06	1.566580e-04	5.858720e-04	2.706820e-04
10.7         	4.072710e-02	2.052210e-06	1.563290e-04	5.805920e-04	2.693950e-04
10.8         	4.072610e-02	2.041790e-06	1.566370e-04	5.840390e-04	2.723660e-04
10.9         	4.072860e-02	2.036890e-06	1.559790e-04	5.791140e-04	2.704810e-04
11           	4.072110e-02	2.025540e-06	1.565320e-04	5.844140e-04	2.745650e-04
11.1         	4.071240e-02	2.015440e-06	1.556960e-04	5.767920e-04	2.696440e-04
11.2         	4.071680e-02	2.014070e-06	1.563670e-04	5.857150e-04	2.717210e-04
11.3         	4.070330e-02	1.996490e-06	1.556060e-04	5.753190e-04	2.705120e-04
11.4         	4.071230e-02	1.988810e-06	1.561020e-04	5.812810e-04	2.718030e-04
11.5         	4.070870e-02	1.988670e-06	1.557470e-04	5.778100e-04	2.694110e-04
11.6         	4.070870e-02	1.985080e-06	1.562490e-04	5.858050e-04	2.713430e-04
11.7         	4.070410e-02	1.970210e-06	1.553350e-04	5.754080e-04	2.706680e-04
11.8         	4.071100e-02	1.965970e-06	1.560580e-04	5.834880e-04	2.716010e-04
11.9         	4.070060e-02	1.956950e-06	1.553820e-04	5.755430e-04	2.693340e-04
12           	4.070310e-02	1.949770e-06	1.555730e-04	5.789310e-04	2.707130e-04
12.1         	4.069690e-02	1.950310e-06	1.554030e-04	5.792260e-04	2.725780e-04
12.2         	4.069590e-02	1.941430e-06	1.557890e-04	5.811350e-04	2.733800e-04
12.3         	4.068810e-02	1.928490e-06	1.553110e-04	5.754210e-04	2.692770e-04
12.4         	4.069680e-02	1.928080e-06	1.558160e-04	5.815870e-04	2.709670e-04
12.5         	4.068870e-02	1.922670e-06	1.554410e-04	5.759780e-04	2.719540e-04
12.6         	4.069800e-02	1.910860e-06	1.556610e-04	5.779560e-04	2.715640e-04
12.7         	4.069000e-02	1.909300e-06	1.551680e-04	5.761790e-04	2.721510e-04
12.8         	4.068660e-02	1.905370e-06	1.556000e-04	5.825210e-04	2.709760e-04
12.9         	4.068470e-02	1.893600e-06	1.550670e-04	5.756140e-04	2.704990e-04
13           	4.069990e-02	1.892660e-06	1.559000e-04	5.806890e-04	2.719660e-04
13.1         	4.068770e-02	1.885090e-06	1.551050e-04	5.746210e-04	2.694170e-04
13.2         	4.069350e-02	1.881730e-06	1.558420e-04	5.832510e-04	2.718510e-04
13.3         	4.069240e-02	1.877350e-06	1.551450e-04	5.759660e-04	2.707980e-04
13.4         	4.069620e-02	1.865250e-06	1.555730e-04	5.787730e-04	2.728620e-04
13.5         	4.067890e-02	1.856850e-06	1.551550e-04	5.762320e-04	2.709100e-04
13.6         	4.068680e-02	1.853670e-06	1.555490e-04	5.781610e-04	2.735670e-04
13.7         	4.067040e-02	1.845890e-06	1.550930e-04	5.756250e-04	2.716040e-04
13.8         	4.068720e-02	1.839290e-06	1.555340e-04	5.812930e-04	2.720960e-04
13.9         	4.068130e-02	1.834230e-06	1.550370e-04	5.763600e-04	2.694920e-04
14           	4.068890e-02	1.826920e-06	1.553130e-04	5.812010e-04	2.704610e-04
14.1         	4.067310e-02	1.827610e-06	1.554640e-04	5.852650e-04	2.710910e-04
14.2         	4.068540e-02	1.808520e-06	1.552920e-04	5.798030e-04	2.708370e-04
14.3         	4.067890e-02	1.809490e-06	1.551680e-04	5.766310e-04	2.705450e-04
14.4         	4.068200e-02	1.798780e-06	1.555200e-04	5.808170e-04	2.708420e-04
14.5         	4.067800e-02	1.798040e-06	1.552150e-04	5.772540e-04	2.711040e-04
14.6         	4.067870e-02	1.782500e-06	1.552910e-04	5.770500e-04	2.703250e-04
14.7         	4.067010e-02	1.788570e-06	1.553120e-04	5.790090e-04	2.719390e-04
14.8         	4.068700e-02	1.786910e-06	1.556540e-04	5.834970e-04	2.730510e-04
14.9         	4.067200e-02	1.774940e-06	1.552870e-04	5.781390e-04	2.708870e-04
15           	4.067630e-02	1.770370e-06	1.556120e-04	5.820030e-04	2.703630e-04
15.1         	4.067390e-02	1.766970e-06	1.552750e-04	5.789860e-04	2.708690e-04
15.2         	4.067570e-02	1.757890e-06	1.553130e-04	5.788580e-04	2.710420e-04
15.3         	4.066500e-02	1.756990e-06	1.552300e-04	5.774110e-04	2.718310e-04
15.4         	4.068060e-02	1.745260e-06	1.552840e-04	5.768900e-04	2.713340e-04
15.5         	4.066600e-02	1.746410e-06	1.549920e-04	5.758520e-04	2.714470e-04
15.6         	4.067490e-02	1.746110e-06	1.555230e-04	5.815560e-04	2.725190e-04
